Mac1,Mac2,peso
201144,181555,4
206895,200718,4
201349,201546,4
209143,202117,4
200574,200646,4
210362,204167,4
215254,198145,4
204755,204567,4
203734,202579,4
201076,169904,4
200574,201539,4
203863,200718,4
200574,201556,4
204167,204754,4
203033,204755,4
203734,175252,4
201349,177340,4
203045,202579,4
180215,200631,4
209143,200898,4
205193,200631,4
218999,201349,4
210719,200631,4
210362,200574,4
200565,200618,4
205741,219891,4
200963,134787,4
212100,183360,4
201224,180215,4
210362,185025,4
184219,184544,4
221268,204231,4
203863,207791,4
180215,202117,4
201076,175974,4
200574,202579,4
209006,200718,4
207504,200574,4
200574,201000,4
200574,201200,4
185025,210136,4
207358,211859,4
207504,205929,4
210719,204567,4
207732,201349,4
200580,206494,4
204167,208775,4
201205,200597,4
200569,200631,4
200569,200597,4
213549,219891,4
200574,203064,4
201760,205929,4
200574,201234,4
198145,219891,4
207732,202117,4
213547,200574,4
204064,200574,4
221173,200718,4
218888,201076,4
200574,178441,4
215254,221268,4
213385,205929,4
213547,204567,4
181555,200599,4
201349,206494,4
217471,201167,4
221173,200631,4
180874,201394,4
180874,200565,4
210362,213385,4
202117,201256,4
202765,175252,4
180874,202117,4
212501,200631,4
210362,213050,4
200574,180418,4
200574,180433,4
213547,180215,4
201167,208210,4
201144,208351,4
201145,200631,4
213547,200565,4
219261,219891,4
209096,210136,4
201349,204567,4
200574,213385,4
200574,175812,4
208488,209213,4
200574,175252,4
201570,200565,4
201641,212077,4
213385,210136,4
213547,202117,4
210362,215254,4
201076,203418,4
215254,224777,4
213385,219687,4
215254,224185,4
207246,206668,4
202117,200565,4
180874,183360,4
180693,221202,4
221173,208351,4
202063,200792,4
185025,193368,4
185025,201546,4
201076,198145,4
181555,206494,4
223801,221268,4
208028,200631,4
185025,201349,4
201144,201167,4
204167,200599,4
219261,212077,4
200574,200618,4
211790,200923,4
185025,194702,4
202063,204754,4
201144,200837,4
210023,211790,4
215254,204567,4
180433,206494,4
201167,169904,4
210362,204754,4
180874,213385,4
203863,183360,4
221173,221268,4
200574,207791,4
200574,192466,4
185025,201076,4
200574,134787,4
183360,204567,4
201076,207791,4
208702,200792,4
207112,202579,4
201394,200792,4
213547,213385,4
202117,203345,4
185025,200582,4
183360,174064,4
180874,204567,4
201556,200565,4
181555,203186,4
201641,203345,4
201349,202579,4
200574,224777,4
181555,203345,4
197210,219891,4
203750,201749,4
201167,180215,4
203345,169904,4
201237,208775,4
219891,208028,4
175812,207791,4
175812,202579,4
203474,215254,4
201237,200597,4
212697,204754,4
203474,204754,4
201237,203345,4
203474,200631,4
200683,200565,4
219891,200565,4
200683,203345,4
219891,205929,4
208775,203345,4
171941,200597,4
206494,212077,4
175586,201076,4
219891,221390,4
208775,205929,4
201439,134787,4
200792,175252,4
208351,212077,4
206494,204567,4
220270,180215,4
222519,221173,4
200701,183360,4
211338,213385,4
203250,200597,4
209894,200574,4
206762,200599,4
211517,200631,4
169766,134787,4
137964,215254,4
200618,175252,4
192487,200574,4
205929,202579,4
177340,200565,4
200631,178434,4
200631,200599,4
201337,218999,4
200631,201428,4
211517,201076,4
204231,200898,4
201539,201546,4
208351,219891,4
201539,200876,4
137964,185025,4
201539,200631,4
200899,134787,4
204231,204567,4
204231,204754,4
201234,208351,4
200876,175252,4
206006,209805,4
203186,204755,4
219747,219891,4
175996,208351,4
200701,200574,4
206494,200718,4
206494,200582,4
173388,215254,4
211336,208351,4
201279,200565,4
201279,201613,4
201718,205929,4
211336,204231,4
211336,204167,4
201279,212077,4
208351,145367,4
211336,201076,4
211336,185025,4
203375,200898,4
201718,204231,4
200718,205929,4
200701,201167,4
200718,207791,4
174011,201279,4
156,183360,4
201718,201167,4
200718,216324,4
190805,227995,4
203329,206494,4
203345,204567,4
203345,202765,4
203345,200599,4
200737,203838,4
201718,202579,4
173388,202117,4
201279,175974,4
208351,183360,4
208351,190139,4
191320,202117,4
191320,201167,4
206494,183360,4
206494,180457,4
206494,177340,4
174922,212713,4
203418,200718,4
191320,200582,4
208351,208028,4
191320,200565,4
191320,177340,4
200701,213385,4
201492,200922,4
208351,204755,4
200783,200631,4
208351,203734,4
174922,201076,4
174922,200922,4
174922,174064,4
208351,201279,4
208351,200898,4
156,208028,4
173388,200631,4
213049,200631,4
201275,200898,4
137964,219891,4
180215,208351,4
203655,180693,4
222807,183360,4
217510,200631,4
200597,203734,4
204754,200631,4
200597,169904,4
222807,208351,4
201224,210996,4
208409,205929,4
200923,208351,4
134787,200792,4
203065,201076,4
200597,201242,4
200597,210060,4
134787,201637,4
203655,219891,4
203065,205929,4
200597,207791,4
203065,200792,4
222807,180693,4
203655,177340,4
25214,204567,3
200574,200582,3
200597,200792,3
174922,207732,3
211336,219304,3
200574,200562,3
201394,221268,3
200580,212218,3
200701,219891,3
208351,205766,3
203612,204754,3
201966,200631,3
219913,211790,3
200701,215254,3
174922,208351,3
200701,222807,3
174922,208775,3
200580,212037,3
200574,200683,3
200574,200714,3
206494,156,3
201966,203345,3
200597,200876,3
200701,211362,3
174922,210284,3
200574,193794,3
211336,215254,3
201076,200565,3
173388,198145,3
202069,204567,3
169072,200582,3
211336,211790,3
208351,200565,3
208409,202117,3
200574,175996,3
201604,200792,3
25214,200631,3
201439,205929,3
210719,201349,3
200580,219136,3
173388,200585,3
201874,200574,3
173388,200565,3
205741,221173,3
206895,46493,3
174922,169904,3
200574,180693,3
201076,201000,3
173388,183360,3
200574,181462,3
200574,181555,3
201076,200991,3
216413,200631,3
178441,208125,3
206494,143193,3
200701,224777,3
200597,200599,3
208409,200631,3
174922,201167,3
203063,200574,3
200574,200991,3
206895,200580,3
180874,222814,3
180874,221268,3
206494,200898,3
219136,219891,3
180215,200565,3
201070,202117,3
180215,184251,3
208351,210136,3
200701,180433,3
200597,202117,3
200701,200636,3
206494,200599,3
200574,202696,3
200701,200718,3
202767,200631,3
206494,200922,3
200574,203752,3
200597,200922,3
201066,200898,3
203863,201076,3
200701,156,3
201545,201546,3
206494,203734,3
201583,219891,3
211338,217621,3
208351,210996,3
200574,203753,3
202767,208775,3
203419,169766,3
200701,180418,3
200574,203882,3
200574,203863,3
207208,206253,3
211963,202400,3
202767,200565,3
148493,208775,3
200580,208775,3
211338,200922,3
225026,200898,3
178434,174452,3
200701,203345,3
200574,201151,3
203418,204755,3
200574,201070,3
148493,203345,3
206494,169904,3
200574,201002,3
200701,204231,3
201076,202579,3
201546,134787,3
203418,200597,3
200574,201275,3
200574,201279,3
208125,205929,3
206494,183443,3
174922,215254,3
200701,201349,3
200574,201546,3
211745,209977,3
200701,201298,3
206494,198145,3
203655,213385,3
201076,134787,3
206895,204567,3
201076,156,3
25214,213385,3
203418,211701,3
180215,183360,3
220162,158348,3
200705,203881,3
201076,203186,3
210362,200792,3
200569,201080,3
211240,210060,3
211674,204195,3
203065,175812,3
200718,222560,3
200569,200572,3
210362,200718,3
174011,184251,3
203065,175974,3
210362,200580,3
203329,206755,3
203345,212077,3
201611,203345,3
210362,187243,3
221194,184251,3
46493,202117,3
203386,208351,3
211240,200785,3
200754,203734,3
200718,200898,3
200569,205695,3
200718,201298,3
200718,202579,3
210362,204755,3
200585,183360,3
174011,202117,3
203329,205929,3
174011,216201,3
200597,156,3
211240,201145,3
212077,200718,3
211240,202117,3
201611,204167,3
173813,219891,3
210362,184118,3
203345,200582,3
203329,219891,3
203345,200922,3
213549,219136,3
203967,200631,3
203345,200898,3
218999,180693,3
182507,203418,3
173813,183360,3
221268,135386,3
203345,200565,3
203065,200631,3
221268,200582,3
203345,134787,3
221268,200922,3
203345,201298,3
203345,202579,3
201076,219891,3
212100,219891,3
201076,219687,3
202696,208351,3
210362,156,3
200565,169904,3
212100,200565,3
200565,175812,3
201546,200718,3
203065,177340,3
200565,180418,3
200565,184251,3
203345,207112,3
203345,207791,3
200565,201242,3
46493,200718,3
211336,169904,3
210362,206494,3
208351,175121,3
200582,200792,3
206253,200565,3
210362,213547,3
206253,200597,3
200582,201283,3
211336,206494,3
181555,200837,3
181555,201349,3
221173,201749,3
206253,202866,3
181555,200991,3
201609,201539,3
203329,184251,3
181555,201076,3
181555,200582,3
203329,173388,3
200582,175252,3
201546,202579,3
208409,204231,3
173388,201713,3
221173,175974,3
173388,201641,3
173388,201546,3
181555,180433,3
201076,204001,3
211336,210362,3
181555,175996,3
181555,169904,3
220270,175812,3
200597,175812,3
203329,134787,3
201609,201614,3
208351,158348,3
203375,200565,3
203329,203345,3
210362,211362,3
203329,203065,3
220766,201298,3
201076,209862,3
133766,200631,3
203329,203150,3
201076,210060,3
206253,203418,3
201076,210996,3
210362,208351,3
201076,212077,3
203064,200718,3
200585,180215,3
173388,208351,3
210362,211370,3
210362,211517,3
203329,202579,3
211336,200599,3
211336,200631,3
203064,180215,3
203329,200618,3
203329,200599,3
211336,202063,3
203329,200582,3
211706,200580,3
211706,211286,3
215480,206494,3
209168,205929,3
200582,202579,3
210362,212878,3
211336,204567,3
203863,200922,3
206494,205929,3
203655,204754,3
180693,203882,3
200598,200594,3
200574,221173,3
211517,180215,3
180693,200718,3
180693,200922,3
206969,177340,3
180693,204231,3
200580,182021,3
216852,206494,3
211517,174064,3
180693,205998,3
200923,213385,3
211517,135386,3
200574,220270,3
200574,221390,3
200631,202500,3
170995,200631,3
200631,199684,3
200631,182021,3
200991,208775,3
200631,184251,3
219304,208351,3
210550,210556,3
203585,202579,3
203752,205929,3
219304,200718,3
205862,213385,3
200580,177340,3
200631,201283,3
211517,204167,3
200904,200574,3
211517,202117,3
215254,169904,3
215254,219261,3
203753,203045,3
217471,219891,3
201551,200597,3
206668,202117,3
200574,218464,3
219687,219891,3
214185,200582,3
220956,202117,3
203554,200574,3
215254,219687,3
211505,202305,3
220956,204754,3
200631,214375,3
215254,222807,3
220956,208351,3
200580,201279,3
201000,212077,3
203065,212077,3
213778,208351,3
201539,181608,3
210521,210517,3
215254,220956,3
