Mac1,Mac2,peso
169654,169086,4
181462,169729,4
175996,183036,4
175996,143452,4
169052,169836,4
197758,173298,4
179235,179526,3
170993,184479,3
169103,190780,3
172389,170993,3
169812,169729,3
175222,170096,3
191168,125047,3
174542,181462,3
192334,135401,3
169265,169729,3
169365,169383,3
133292,5494,3
169061,169012,3
186999,191072,3
177813,186386,3
181462,178468,3
169144,170993,3
183036,169729,3
181462,171161,3
177813,182875,3
174542,178468,3
169061,187377,3
169365,169659,3
174542,174724,3
169023,172191,3
171352,169023,3
180268,175258,3
191072,173298,3
192334,151489,3
174542,180268,3
186999,192234,3
175458,190839,3
180268,135431,3
169103,190139,3
172389,169075,3
169729,151489,3
179235,176884,3
181462,175996,3
173916,189032,3
184204,183510,3
179235,176873,3
186999,186386,3
180268,179192,3
168997,184204,3
169729,169972,3
180268,179387,3
168997,169849,3
169061,185755,3
168997,184774,3
180268,179499,3
169365,177813,3
169365,178032,3
169061,169075,3
177588,187177,3
191168,189919,3
178968,180244,3
173600,169023,3
169103,183036,3
183457,192908,3
169103,182467,3
175996,194584,3
169729,169440,3
169365,171675,3
191328,184906,3
170993,184204,3
171069,171286,3
179429,185874,3
181462,171286,3
12391,170993,3
170293,175325,3
184204,171286,3
178968,177257,3
191168,198132,3
182875,169729,3
169365,169836,3
178518,179387,3
169766,184479,3
184204,178468,3
169265,169960,3
173090,169729,3
184204,179387,3
171069,168997,3
187177,192710,3
172896,169144,3
178408,169061,3
186386,196150,3
169061,184769,3
184570,178518,3
171097,170101,3
169365,177481,3
171069,181598,3
191168,197758,3
169729,147133,3
178968,125047,3
174542,169729,3
169144,170096,3
186386,183036,3
192234,193643,3
168997,191072,3
180268,169037,3
188751,184328,3
178968,170993,3
180268,169086,3
186386,172280,3
180268,169103,3
185441,169729,3
178968,192192,3
178968,169144,3
178968,187377,3
172162,183510,3
170410,176914,3
181462,138891,3
177588,192558,3
172389,179235,3
171749,142443,3
137365,187177,3
186386,171286,3
172540,169023,3
178968,186999,3
169023,169075,3
178968,171544,3
171749,169023,3
171749,169075,3
178968,186738,3
169718,184204,3
171749,169256,3
169729,174519,3
137365,178518,3
169144,169249,3
169718,180244,3
169245,175325,3
180268,134566,3
169729,175458,3
195292,191328,3
179235,183036,3
152046,191307,3
192724,125047,3
175594,180268,3
178968,189132,3
170005,170096,3
171196,187795,3
183771,181925,3
178968,169960,3
169023,169810,3
180268,145796,3
152046,184656,3
169023,169837,3
169365,156,3
178296,186032,3
169023,169849,3
169245,173813,3
180268,156,3
172257,169023,3
186386,173298,3
182918,173298,3
179235,181925,3
169571,169729,3
125047,191781,3
152729,169302,3
172538,185767,3
174564,169729,3
186999,194321,3
178968,186162,3
178468,175252,3
186386,190780,3
185640,186386,3
183036,180340,3
169277,169365,3
169718,169023,3
187908,194584,3
168997,172540,3
173019,171816,3
192710,190139,3
169381,169729,3
192710,175252,3
193001,169533,3
169365,173813,3
169961,169023,3
170993,187377,3
183457,190112,3
168997,179235,3
168997,179389,3
178968,174144,3
182918,197758,3
169063,142443,3
186386,191746,3
178968,184479,3
169103,196150,3
178468,186032,3
169954,170096,3
169718,128170,3
193128,178468,3
186386,190139,3
191183,125047,3
125047,186631,3
189360,171286,3
152046,173298,3
171749,169729,3
152046,194584,3
171196,171161,3
169146,169086,3
186999,197091,3
169365,147133,3
177330,169075,3
125047,191072,3
186386,187093,3
186386,187377,3
171196,169836,3
170993,190112,3
169061,151489,3
183036,182467,3
178968,172376,3
186386,169891,3
177588,192908,3
171196,169729,3
194321,175252,3
178518,183510,3
169365,151489,3
168997,173298,3
181466,168997,3
178968,185017,3
169729,172191,3
186999,198132,3
169787,170096,3
179235,169440,3
191168,192795,3
169459,169012,3
169061,169849,3
177588,169440,3
173813,169075,3
189132,187795,3
177588,169462,3
174359,173550,3
185755,179387,3
170993,156,3
169103,143452,3
185755,180767,3
169836,176379,3
170015,178325,3
173298,168999,3
169729,187054,3
183457,169061,3
192336,170993,3
169365,185627,3
169365,185640,3
177588,173997,3
192590,192334,3
169736,135431,3
170101,169144,3
169086,169647,3
177588,168997,3
170374,178468,3
169836,178468,3
180268,190112,3
171675,175252,3
169061,171168,3
169459,170325,3
169302,169075,3
177588,169086,3
183457,169086,3
180268,189659,3
170096,174671,3
169365,182169,3
169836,175996,3
169103,169012,3
170993,138325,3
2926,169023,3
180268,186999,3
173431,135431,3
183173,179425,3
169012,169718,3
169103,169718,3
173298,190780,3
170993,169256,3
178032,178968,3
169061,169729,3
2926,169365,3
180659,169729,3
171661,170993,3
177588,173298,3
171324,178968,3
190839,175252,3
178518,171196,3
169961,190139,3
171324,178511,3
189697,175297,3
175996,170993,3
171974,170993,3
173813,170096,3
198725,173298,3
169459,169103,3
189716,194321,3
169061,169770,3
169729,186075,3
169001,189864,3
169061,171286,3
192336,169365,3
175996,186691,3
169659,170096,3
169034,169729,3
189659,187377,3
169729,190780,3
169729,190139,3
175325,169023,3
169459,169960,3
196150,178468,3
171586,172666,3
178508,187377,3
178032,169718,3
187377,183951,3
635,630,3
196150,175297,3
169729,187908,3
197021,175252,3
179526,180340,3
177541,169729,3
191641,192432,3
197021,172666,3
169061,170976,3
182933,186999,3
169729,197758,3
196150,194584,3
189098,178468,3
169086,170993,3
175335,169023,3
183457,175325,3
175325,169659,3
180909,190780,3
187795,175252,3
171286,184680,3
198187,169256,3
175325,169440,3
169980,170101,3
169654,178468,3
169086,179387,3
169086,187377,3
171586,169165,3
187377,179387,3
184776,183510,3
169086,169256,3
169836,179387,3
169459,169849,3
178032,171286,3
175340,187177,3
180268,191319,3
177588,125047,3
170374,191168,3
178518,169440,3
169086,177102,3
181462,184204,3
152729,194584,3
169729,187177,3
177588,143452,3
191641,186386,3
169086,187093,3
169034,143452,3
189659,192334,3
174849,170096,3
169086,169144,3
187508,177857,3
173254,169904,3
192336,187177,3
169086,171168,3
169086,178468,3
170096,184479,3
169729,190375,3
180268,192474,3
191641,186738,3
192558,190139,3
170448,187257,3
169836,180473,3
180268,192908,3
169365,190135,3
190407,171352,3
171828,169075,3
169103,169960,3
179235,169849,3
175996,175252,3
169365,184268,3
184769,169729,3
191641,178968,3
184769,169023,3
179235,169012,3
179235,169249,3
197091,178468,3
170448,178518,3
175325,187099,3
169086,170590,3
178707,169012,3
183457,184479,3
169103,178468,3
177541,179235,3
169365,183577,3
169012,169023,3
170993,176838,3
170993,175278,3
184656,178468,3
181462,186032,3
173997,170993,3
169284,170096,3
169836,169037,3
191657,178468,3
178032,187093,3
169729,182467,3
170993,175492,3
175996,191072,3
190112,184479,3
175325,184328,3
169284,169256,3
177588,183036,3
175325,184774,3
180268,181953,3
179235,156,3
169012,169075,3
169061,169187,3
169465,181462,3
169061,169144,3
170993,179021,3
169459,142443,3
176181,186386,3
198187,178468,3
175325,175302,3
187177,190139,3
185640,169061,3
192908,151489,3
180268,181139,3
177588,186777,3
197758,187908,3
184204,187093,3
192334,187795,3
