mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
B8:5A:73:F5:1A:51,43.0,0.0,0.0,30.2325581395,32.5581395349,25.5813953488,11.6279069767,0.25,43
14:74:11:D8:74:EE,43.0,0.0,0.0,9.3023255814,34.8837209302,32.5581395349,23.2558139535,0.25,200
3C:C2:43:CF:6A:FC,42.0,0.0,0.0,7.14285714286,30.9523809524,33.3333333333,28.5714285714,0.25,81
C4:50:06:F4:11:3E,41.0,0.0,0.0,2.43902439024,4.87804878049,65.8536585366,26.8292682927,0.25,80
C8:A8:23:19:2B:81,41.0,0.0,0.0,0.0,65.8536585366,34.1463414634,0.0,0.25,81
AC:D1:B8:73:8D:B3,41.0,0.0,0.0,4.87804878049,36.5853658537,36.5853658537,21.9512195122,0.25,134
F4:E3:FB:78:28:8D,41.0,0.0,0.0,7.31707317073,34.1463414634,36.5853658537,21.9512195122,0.25,85
48:5A:3F:5C:2B:5E,40.0,0.0,0.0,7.5,25.0,47.5,20.0,0.25,238
04:FE:31:0E:E4:A1,40.0,0.0,12.5,40.0,22.5,10.0,15.0,0.25,43
B8:6C:E8:BA:34:E9,38.0,0.0,0.0,10.5263157895,21.0526315789,47.3684210526,21.0526315789,0.25,38
B8:5E:7B:B5:02:76,37.0,100.0,0.0,27.027027027,51.3513513514,13.5135135135,8.10810810811,0.25,69
2C:5A:05:DF:40:97,37.0,0.0,0.0,13.5135135135,37.8378378378,37.8378378378,10.8108108108,0.5,59
40:B0:FA:76:6C:DD,37.0,0.0,0.0,16.2162162162,27.027027027,43.2432432432,13.5135135135,0.25,68
DC:C7:93:4C:E5:98,36.0,0.0,0.0,8.33333333333,19.4444444444,33.3333333333,38.8888888889,0.25,42
34:4D:F7:7D:F2:07,36.0,0.0,0.0,2.77777777778,5.55555555556,61.1111111111,30.5555555556,0.25,36
A4:9A:58:43:C8:3E,36.0,0.0,0.0,8.33333333333,33.3333333333,25.0,33.3333333333,0.25,108
E0:19:1D:09:8F:A2,35.0,0.0,0.0,17.1428571429,34.2857142857,28.5714285714,20.0,0.5,112
9C:D3:5B:BE:6D:13,35.0,0.0,0.0,20.0,37.1428571429,37.1428571429,5.71428571429,0.266025641026,104
CC:F3:A5:EC:4F:C1,35.0,0.0,0.0,17.1428571429,22.8571428571,17.1428571429,37.1428571429,0.25,75
A8:7C:01:90:E7:62,34.0,0.0,0.0,5.88235294118,26.4705882353,50.0,17.6470588235,0.25,55
60:51:2C:98:39:3C,34.0,0.0,0.0,26.4705882353,47.0588235294,17.6470588235,8.82352941176,0.25,133
08:FC:88:41:2F:AB,34.0,0.0,0.0,32.3529411765,32.3529411765,20.5882352941,14.7058823529,0.25,55
00:0C:E7:34:E9:79,34.0,0.0,0.0,0.0,29.4117647059,55.8823529412,14.7058823529,0.25,47
7C:F9:0E:5E:86:6B,33.0,100.0,0.0,18.1818181818,36.3636363636,36.3636363636,9.09090909091,0.25,64
30:C7:AE:49:CC:80,33.0,0.0,0.0,6.06060606061,36.3636363636,39.3939393939,18.1818181818,0.25,65
D4:93:98:51:E4:54,33.0,0.0,42.4242424242,0.0,0.0,3.0303030303,24.2424242424,0.397058823529,68
